Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:00	6.27	--	0	0	бРел
15:00:00	6.27	--	0	0	бРел
14:59:59	6.27	--	122	76494	бРел
14:59:54	6.27	--	59	36993	бРел
14:59:49	6.27	--	244	152988	бРел
14:59:44	6.27	--	39	24453	бРел
14:59:39	6.27	0.01	158	99066	бРел
14:59:34	6.26	-0.01	75	46950	бТел
14:59:29	6.27	0.01	215	134805	бРел
14:59:24	6.26	-0.01	65	40690	бТел
14:59:19	6.27	--	24	15047	бРел
14:59:14	6.27	--	300	188100	бРел
14:59:09	6.27	--	33	20691	бРел
14:59:04	6.27	--	12	7523	бРел
14:58:59	6.27	--	240	150480	бРел
14:58:54	6.27	--	230	144210	бРел
14:58:39	6.27	--	2	1254	бРел
14:58:29	6.27	0.01	15	9405	бРел
14:58:24	6.26	--	251	157126	бТел
14:58:14	6.26	--	410	256966	бТел
14:58:04	6.26	--	9	5634	бТел
14:57:59	6.26	--	25	15650	бТел
14:57:54	6.26	--	16	10191	бТел
14:57:44	6.26	--	28	17528	бТел
14:57:39	6.26	--	55	34430	бТел
14:57:34	6.26	--	44	27544	бТел
14:57:28	6.26	--	45	28170	бТел
14:57:24	6.26	--	104	65247	бРел
14:57:19	6.26	0.01	10	6260	бРел
14:57:09	6.25	-0.01	63	39375	бТел
14:57:03	6.26	--	131	82006	бРел
14:56:54	6.26	--	4	2504	бРел
14:56:43	6.26	0.01	10	6260	бРел
14:56:39	6.25	-0.01	320	200000	бТел
14:56:33	6.26	0.01	940	588440	бРел
14:56:28	6.25	-0.01	38	23750	бТел
14:56:24	6.26	--	44	28007	бРел
14:56:13	6.26	--	30	18780	бРел
14:56:09	6.26	--	64	40064	бРел
14:56:04	6.26	--	14	8764	бРел
14:55:58	6.26	--	10	6260	бРел
14:55:54	6.26	0.02	73	45698	бРел
14:55:49	6.24	-0.02	1007	628368	бТел
14:55:23	6.26	--	11	6886	бРел
14:55:19	6.26	--	145	90770	бРел
14:55:08	6.26	0.01	151	94526	бРел
14:55:04	6.25	--	276	172500	бТел
14:54:53	6.25	--	575	359375	бТел
14:54:49	6.25	--	135	84375	бТел
14:54:38	6.25	--	17	10625	бТел
14:54:33	6.25	--	166	103750	бТел
14:54:23	6.25	--	339	211875	бТел
14:54:18	6.25	--	50	31250	бТел
14:54:13	6.25	-0.01	4	2500	бТел
14:54:08	6.26	0.01	4	2504	бРел
14:54:03	6.25	--	15	9375	бТел
14:53:53	6.25	-0.01	1	625	бТел
14:53:48	6.26	--	265	166372	бТел
14:53:42	6.26	--	11	6886	бТел
14:53:38	6.26	--	173	108298	бТел
14:53:33	6.26	--	60	37703	бТел
14:53:27	6.26	--	22	13772	бТел
14:53:23	6.26	-0.01	31	19406	бТел
14:53:18	6.27	0.01	2	1254	бРел
14:53:12	6.26	-0.01	30	18780	бТел
14:53:08	6.27	0.01	51	31976	бРел
14:53:03	6.26	--	91	56966	бТел
14:52:53	6.26	--	60	37560	бТел
14:52:38	6.26	0.01	307	192182	бРел
14:52:27	6.25	--	50	31250	бТел
14:52:23	6.25	-0.01	218	136250	бТел
14:52:18	6.26	--	92	57592	бРел
14:52:12	6.26	--	19	11894	бРел
14:52:03	6.26	--	403	252278	бТел
14:51:57	6.26	--	6	3756	бТел
14:51:48	6.26	--	23	14398	бТел
14:51:33	6.26	-0.01	32	20032	бТел
14:51:23	6.27	0.01	72	45144	бРел
14:51:18	6.26	0.01	169	105794	жпптел
14:51:12	6.25	-0.02	375	234537	бТел
14:51:06	6.27	--	10	6270	бТел
14:51:03	6.27	0.01	199	125236	бРел
14:50:57	6.26	-0.01	110	68860	бТел
14:50:51	6.27	--	3	1880	бРел
14:50:48	6.27	--	169	106126	бТел
14:50:42	6.27	--	84	52668	бТел
14:50:33	6.27	--	244	153451	бРел
14:50:27	6.27	0.01	26	16301	бРел
14:50:18	6.26	--	80	50080	бТел
14:50:12	6.26	--	201	125826	бТел
14:50:03	6.26	-0.01	20	12520	бТел
14:49:48	6.27	--	32	20064	бРел
