Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
15:00:03	14.32	0.02	302	432464	бРел
14:57:00	14.3	--	0	0	бТел
14:56:54	14.3	--	21	30030	бТел
14:56:51	14.3	-0.02	7	10010	бТел
14:56:39	14.32	0.02	42	60144	бРел
14:56:30	14.3	--	15	21736	бРел
14:56:03	14.3	0.01	100	143000	бРел
14:56:00	14.29	0.01	15	21435	жпптел
14:55:45	14.28	--	8	11424	бТел
14:55:39	14.28	--	54	77112	бТел
14:55:36	14.28	--	100	142800	бТел
14:55:33	14.28	--	54	77112	бТел
14:55:30	14.28	-0.01	58	82895	бТел
14:55:27	14.29	--	12	17148	бРел
14:55:21	14.29	--	75	108403	бРел
14:55:18	14.29	0.01	320	457280	бРел
14:55:15	14.28	-0.01	59	84966	бТел
14:55:12	14.29	--	211	301519	бРел
14:55:03	14.29	--	5	7145	бРел
14:55:00	14.29	--	125	178625	бРел
14:54:57	14.29	--	329	470141	бРел
14:54:51	14.29	--	18	25722	бРел
14:54:48	14.29	--	24	34296	бРел
14:54:39	14.29	--	300	428700	бРел
14:54:36	14.29	0.01	2	2858	бРел
14:54:33	14.28	-0.01	56	79968	бТел
14:54:30	14.29	--	76	108604	бРел
14:54:24	14.29	-0.01	527	753083	бТел
14:54:18	14.3	0.01	93	132990	бРел
14:54:15	14.29	0.01	209	298661	бРел
14:54:12	14.28	--	56	79968	бТел
14:54:09	14.28	-0.01	57	81396	бТел
14:54:06	14.29	0.01	2	2858	жпптел
14:54:03	14.28	-0.01	53	75684	бТел
14:54:00	14.29	-0.01	13	18577	бТел
14:53:57	14.3	-0.04	82	117260	жпптел
14:53:51	14.34	0.06	118	169212	бРел
14:53:39	14.28	-0.07	123	175644	бТел
14:53:36	14.35	--	2	2870	бТел
14:53:33	14.35	--	87	124845	бТел
14:53:30	14.35	0.07	803	1153194	бРел
14:53:27	14.28	--	111	158508	бРел
14:53:24	14.28	--	78	111384	бТел
14:53:18	14.28	0.01	57	81396	жпптел
14:53:12	14.27	-0.01	57	81924	бТел
14:53:09	14.28	--	15	21420	бРел
14:53:06	14.28	--	2	2856	бРел
14:53:03	14.28	-0.07	37	53678	бТел
14:53:00	14.35	0.07	1000	1435000	бРел
14:52:57	14.28	--	56	79968	бТел
14:52:54	14.28	-0.01	57	81396	бТел
14:52:48	14.29	0.01	55	78595	жпптел
14:52:42	14.28	--	55	78540	бТел
14:52:39	14.28	--	61	87108	бТел
14:52:33	14.28	-0.02	54	77112	бТел
14:52:30	14.3	0.02	20	28600	бРел
14:52:27	14.28	--	57	81396	бТел
14:52:24	14.28	-0.01	274	391871	бТел
14:52:18	14.29	0.01	78	111462	жпптел
14:52:15	14.28	--	202	289869	бТел
14:52:12	14.28	-0.01	83	118524	бТел
14:52:09	14.29	--	54	77166	бТел
14:52:06	14.29	0.01	24	34296	бТел
14:52:03	14.28	-0.01	58	82824	бТел
14:51:57	14.29	--	65	92885	бТел
14:51:54	14.29	-0.01	55	78595	бТел
14:51:51	14.3	0.01	50	71500	бРел
14:51:48	14.29	-0.01	57	81453	бТел
14:51:45	14.3	0.01	24	34320	бРел
14:51:42	14.29	--	54	77166	бТел
14:51:39	14.29	--	55	78595	бТел
14:51:36	14.29	--	54	77166	бРел
14:51:33	14.29	0.01	87	124322	бРел
14:51:27	14.28	--	53	75684	бТел
14:51:24	14.28	-0.01	54	77112	бТел
14:51:21	14.29	0.01	95	135755	бРел
14:51:18	14.28	-0.01	55	78540	бТел
14:51:15	14.29	0.01	20	28580	бРел
14:51:12	14.28	-0.01	93	132804	бТел
14:51:09	14.29	-0.01	53	75737	бТел
14:51:03	14.3	0.01	55	78650	бРел
14:50:57	14.29	--	57	81453	бТел
14:50:54	14.29	0.01	58	82882	бТел
14:50:48	14.28	-0.02	52	74256	бТел
14:50:45	14.3	0.02	140	200200	бРел
14:50:42	14.28	--	56	79968	бТел
14:50:39	14.28	--	62	88536	бТел
14:50:36	14.28	-0.01	35	49980	бТел
14:50:33	14.29	--	73	104317	бРел
14:50:27	14.29	--	4	6301	бТел
14:50:24	14.29	--	39	55731	бТел
14:50:21	14.29	--	56	80024	бТел
14:50:18	14.29	--	56	80024	бТел
14:50:12	14.29	-0.01	54	77166	бТел
14:50:06	14.3	0.01	55	78650	бТел
14:50:03	14.29	--	55	78595	бТел
14:49:57	14.29	--	53	75737	бТел
14:49:54	14.29	--	56	80024	бТел
14:49:48	14.29	--	54	77166	бТел
14:49:42	14.29	--	55	78595	бТел
14:49:39	14.29	--	53	75737	бТел
14:49:33	14.29	-0.01	60	85740	бТел
14:49:30	14.3	0.01	1	1430	бРел
14:49:27	14.29	--	57	81453	бТел
14:49:24	14.29	--	9	13575	бТел
14:49:21	14.29	--	54	77166	бТел
14:49:18	14.29	-0.02	255	364395	бТел
14:49:12	14.31	0.01	71	101601	бРел
14:49:06	14.3	--	54	77220	бТел
14:49:03	14.3	-0.01	2064	2951520	бТел
14:49:00	14.31	0.01	10	14310	бРел
14:48:57	14.3	--	55	78650	бТел
14:48:54	14.3	--	9	13585	бТел
14:48:51	14.3	--	58	82940	бТел
14:48:48	14.3	--	54	77220	бТел
14:48:42	14.3	-0.01	53	75790	бТел
14:48:39	14.31	0.01	5	7155	бРел
14:48:33	14.3	--	64	91520	бТел
14:48:27	14.3	-0.01	53	75790	бТел
14:48:24	14.31	--	167	239706	бТел
14:48:18	14.31	--	202	289062	бТел
14:48:09	14.31	-0.01	112	160272	бТел
14:48:06	14.32	--	6	8592	бРел
14:48:03	14.32	--	13	18616	бРел
14:48:00	14.32	--	130	186876	бРел
14:47:54	14.32	0.01	1	1432	бРел
14:47:48	14.31	--	115	164565	бТел
14:47:33	14.31	-0.01	16	23611	бТел
14:47:27	14.32	--	20	28640	бРел
14:47:24	14.32	-0.03	53	76597	бТел
14:47:18	14.35	0.03	321	460635	бРел
14:47:15	14.32	--	14	20048	бТел
14:47:12	14.32	-0.01	2	2864	бТел
14:47:09	14.33	0.01	20	28660	бРел
14:47:06	14.32	--	5	7160	бТел
14:47:03	14.32	-0.01	10	14320	бТел
14:46:54	14.33	-0.01	6	9314	бТел
14:46:51	14.34	0.01	6	8604	бРел
14:46:33	14.33	--	7	10747	бРел
14:46:30	14.33	--	5	7165	бТел
14:46:21	14.33	--	1	1433	бТел
14:46:03	14.33	-0.02	3	4299	жпптел
14:46:00	14.35	0.03	52	74620	бРел
14:45:57	14.32	-0.03	9	13604	бТел
14:45:48	14.35	--	1	1435	бРел
14:45:45	14.35	0.03	316	453460	бРел
14:45:33	14.32	--	8	11456	бТел
14:45:30	14.32	-0.03	9	13618	бТел
14:45:18	14.35	0.02	140	200900	бРел
14:45:15	14.33	--	3	5015	бТел
14:45:06	14.33	--	9	13613	бТел
14:45:03	14.33	0.01	3	4299	жпптел
14:44:57	14.32	--	358	512656	бТел
14:44:54	14.32	-0.01	2	2864	бТел
14:44:45	14.33	0.01	1	1433	бРел
14:44:39	14.32	--	27	38664	бТел
14:44:36	14.32	--	15	21480	бТел
14:44:33	14.32	-0.01	12	17900	бТел
14:44:30	14.33	0.01	10	14330	бРел
14:44:27	14.32	-0.01	10	14320	бТел
14:44:12	14.33	0.01	12	17196	бРел
14:44:06	14.32	--	37	53700	бТел
14:44:03	14.32	-0.01	3	4296	бТел
14:43:57	14.33	--	6	9285	бТел
14:43:51	14.33	--	13	19374	бРел
14:43:48	14.33	0.01	110	157630	бРел
14:43:42	14.32	--	28	40096	бТел
